Below are the first nkwall=min(nw,4*S+6)=14 solutions from BO, sorted by imag part, at 10-Jan-2025 09:36:00
kz[kn]           kx[kn]           k[kn]            theta[deg]       Re(omega1[wn])   Im(omega1[wn])   Re(omega2[wn])   Im(omega2[wn])   Re(omega3[wn])   Im(omega3[wn])   Re(omega4[wn])   Im(omega4[wn])   Re(omega5[wn])   Im(omega5[wn])   Re(omega6[wn])   Im(omega6[wn])   Re(omega7[wn])   Im(omega7[wn])   Re(omega8[wn])   Im(omega8[wn])   Re(omega9[wn])   Im(omega9[wn])   Re(omega10[wn])  Im(omega10[wn])  Re(omega11[wn])  Im(omega11[wn])  Re(omega12[wn])  Im(omega12[wn])  Re(omega13[wn])  Im(omega13[wn])  Re(omega14[wn])  Im(omega14[wn])  
2.545584e-01     2.545584e-01     3.600000e-01     4.500000e+01     -1.866444e-04    7.017259e-05     -1.414930e-06    3.375041e-07     4.258186e+04     6.115734e-09     4.074709e+04     4.283240e-09     1.806283e-10     4.262585e-10     -2.858215e-13    2.046540e-13     4.930563e-14     2.819898e-14     -9.969940e-17    3.753770e-16     4.173456e-14     -1.217341e-13    4.657735e-12     -9.726718e-13    -4.258186e+04    -5.789892e-10    -4.165400e+04    -1.066301e-08    -4.074709e+04    -1.241904e-08    4.165400e+04     -2.553593e-08    
2.616295e-01     2.616295e-01     3.700000e-01     4.500000e+01     -1.536695e-06    1.857971e-05     -4.165404e+04    1.762224e-07     4.165404e+04     2.591955e-08     -4.074715e+04    8.065992e-09     4.074715e+04     1.121975e-09     6.506659e-10     3.498153e-10     -3.802059e-15    2.758994e-13     -2.749069e-14    4.844824e-14     3.514058e-16     1.263965e-15     -1.436411e-13    -1.320879e-13    -7.397444e-13    -7.802293e-13    -4.258192e+04    -3.101529e-09    4.258192e+04     -5.461483e-09    9.314528e-06     -2.204732e-05    
2.687006e-01     2.687006e-01     3.800000e-01     4.500000e+01     -5.568962e-08    3.226316e-07     4.165409e+04     2.665879e-07     4.258198e+04     6.528936e-09     -4.258198e+04    1.875641e-09     1.455611e-12     1.702171e-12     -2.884801e-14    2.878073e-13     9.152521e-13     1.660053e-13     2.549254e-14     2.135200e-14     -5.748726e-16    -2.150076e-16    4.074721e+04     -5.664761e-11    4.758825e-09     -2.544346e-09    -4.074721e+04    -4.219925e-09    -4.165409e+04    -2.170019e-07    -7.834642e-05    -4.610681e-05    
2.757716e-01     2.757716e-01     3.900000e-01     4.500000e+01     -4.074728e+04    4.245283e-09     4.258204e+04     2.801869e-09     4.074728e+04     1.940620e-09     -1.004432e-13    1.241012e-13     8.020786e-16     1.062836e-15     -1.470311e-14    -1.975627e-14    -3.954818e-13    -2.086224e-13    -5.025215e-13    -9.007412e-13    1.373586e-09     -5.574531e-10    -4.258204e+04    -1.595126e-09    -4.165413e+04    -1.786003e-08    4.165413e+04     -5.186385e-08    5.591371e-06     -3.384902e-06    -2.855913e-05    -1.777225e-05    
2.828427e-01     2.828427e-01     4.000000e-01     4.500000e+01     2.548055e-06     2.101136e-06     -4.165418e+04    2.757008e-08     1.572346e-09     3.213559e-10     8.658058e-13     9.692259e-13     -3.150395e-14    4.869210e-14     5.215223e-16     -1.070643e-15    -5.120876e-13    -8.291791e-14    1.885897e-13     -1.471632e-13    -4.074735e+04    -5.253235e-11    -4.258210e+04    -1.191600e-09    4.258210e+04     -5.512023e-09    4.074735e+04     -8.352608e-09    4.165418e+04     -1.592785e-07    -6.397273e-05    -4.802350e-06    
2.899138e-01     2.899138e-01     4.100000e-01     4.500000e+01     9.075934e-06     4.381449e-06     4.258217e+04     3.198579e-09     7.177383e-14     2.311571e-13     6.161693e-14     4.791311e-14     -3.657979e-16    1.969861e-16     3.365490e-13     -5.982776e-14    -1.044474e-12    -7.292446e-14    2.604654e-10     -6.516571e-11    -4.258217e+04    -7.587855e-10    -4.074741e+04    -8.284329e-10    4.074741e+04     -4.798199e-09    -4.165422e+04    -1.047370e-07    4.165422e+04     -1.769462e-07    1.008350e-05     -6.800271e-05    
2.969848e-01     2.969848e-01     4.200000e-01     4.500000e+01     -1.936651e-04    2.048913e-05     -8.086996e-07    1.947852e-06     4.165427e+04     1.425617e-07     4.074749e+04     1.660320e-10     -4.258223e+04    9.519782e-11     -4.838393e-13    5.580396e-13     7.369423e-15     6.793090e-14     -5.888794e-13    4.633691e-14     5.329112e-16     -1.599370e-15    1.432538e-13     -1.352051e-14    4.258223e+04     -7.239572e-10    4.532209e-10     -1.121148e-09    -4.074749e+04    -3.401691e-09    -4.165427e+04    -2.676863e-07    
3.040559e-01     3.040559e-01     4.300000e-01     4.500000e+01     9.842678e-06     9.481832e-06     4.165432e+04     4.791984e-08     -4.258230e+04    9.417989e-10     4.258230e+04     2.896757e-10     1.396424e-12     5.974345e-13     -6.562947e-14    2.417897e-13     2.652714e-14     2.247889e-14     -7.385284e-16    -2.312902e-15    9.136978e-15     -1.305957e-13    8.815545e-11     -1.768498e-11    4.074756e+04     -2.982583e-09    -4.074756e+04    -9.517816e-09    -4.165432e+04    -2.217346e-07    -5.824507e-06    -3.976138e-05    
3.111270e-01     3.111270e-01     4.400000e-01     4.500000e+01     2.645420e-05     3.117077e-06     4.165437e+04     3.602658e-08     -4.074763e+04    3.232274e-09     4.258237e+04     2.816019e-09     -4.258237e+04    8.994911e-11     4.302586e-10     6.905137e-11     4.731802e-13     2.372596e-13     5.084589e-14     1.809305e-13     4.338192e-16     -3.631942e-17    2.328462e-13     -1.475953e-13    -1.084547e-13    -4.272582e-13    4.074763e+04     -4.434765e-09    -4.165437e+04    -2.232501e-08    -2.022958e-05    -1.837815e-05    
3.181981e-01     3.181981e-01     4.500000e-01     4.500000e+01     -1.165722e-04    3.362731e-05     2.365541e-06     5.591053e-06     4.165442e+04     1.922758e-07     -4.258243e+04    5.593972e-09     -1.407972e-10    3.724842e-10     -2.853437e-13    4.323014e-13     -1.196439e-13    2.281128e-13     1.764957e-13     1.058237e-13     2.860560e-16     -1.154244e-15    3.531321e-13     -3.583407e-13    4.258243e+04     -1.821081e-09    -4.074771e+04    -3.233944e-09    4.074771e+04     -8.169465e-09    -4.165442e+04    -2.829758e-07    
3.252691e-01     3.252691e-01     4.600000e-01     4.500000e+01     -6.295563e-05    5.101164e-06     -4.074778e+04    5.591074e-09     -4.258251e+04    1.910926e-10     -4.142412e-13    3.284532e-13     1.769321e-14     4.972308e-14     1.126742e-15     -8.920766e-16    3.014109e-13     -3.731167e-14    4.571902e-14     -3.845691e-13    -7.229894e-10    -4.980011e-10    4.074778e+04     -3.422627e-09    4.258251e+04     -6.054039e-09    4.165447e+04     -1.720148e-08    -4.165447e+04    -1.630646e-07    2.505697e-06     -1.231026e-06    
3.323402e-01     3.323402e-01     4.700000e-01     4.500000e+01     -4.165452e+04    1.499517e-07     -4.258258e+04    8.600370e-09     -1.952469e-10    3.676955e-10     4.074786e+04     1.665787e-10     -2.113108e-15    -1.082200e-15    -3.614567e-14    -2.601032e-14    6.023337e-14     -1.357208e-13    7.947368e-13     -3.340488e-13    -3.342988e-13    -4.960444e-13    -4.074786e+04    -2.910477e-09    4.258258e+04     -1.360800e-08    4.165452e+04     -1.461546e-07    5.453280e-05     -1.715322e-06    -1.265081e-05    -1.974428e-06    
3.394113e-01     3.394113e-01     4.800000e-01     4.500000e+01     3.481187e-05     7.234140e-05     -4.258265e+04    9.847064e-10     4.072107e-13     3.725856e-13     3.086410e-13     2.208767e-14     -1.437584e-15    4.933107e-15     -4.579354e-15    -9.880205e-15    7.948356e-15     -2.041204e-13    -9.103152e-10    -7.259354e-10    -4.074794e+04    -1.126721e-09    4.074794e+04     -2.370776e-09    4.258265e+04     -7.261081e-09    4.165458e+04     -6.981100e-08    -4.165458e+04    -1.207428e-07    4.868728e-06     -9.350211e-06    
3.464823e-01     3.464823e-01     4.900000e-01     4.500000e+01     -1.373370e-05    9.270221e-07     -4.165463e+04    2.562746e-07     4.258273e+04     1.091712e-09     1.081920e-10     1.655000e-10     1.084964e-12     5.250366e-13     -1.203428e-13    2.626157e-14     9.449343e-14     1.528420e-14     -1.192219e-12    7.369578e-15     8.993000e-16     -3.034231e-16    4.074802e+04     -2.298731e-09    -4.074802e+04    -2.316733e-09    -4.258273e+04    -6.334051e-09    4.165463e+04     -8.894567e-08    -4.483779e-05    -1.672035e-05    
3.535534e-01     3.535534e-01     5.000000e-01     4.500000e+01     4.074811e+04     1.065899e-08     4.258280e+04     4.389780e-09     -4.258280e+04    1.194572e-10     -2.078782e-16    -4.344056e-15    -3.176845e-14    -2.790842e-14    2.048007e-13     -5.527638e-14    -5.020511e-13    -4.652577e-13    -6.908222e-14    -6.615046e-13    -3.156057e-10    -1.288759e-11    -4.074811e+04    -2.010540e-09    -4.165469e+04    -1.391047e-08    4.165469e+04     -4.495432e-08    -4.529976e-06    -5.930757e-06    4.811608e-05     -1.620248e-05    
