Below are the first nkwall=min(nw,4*S+6)=18 solutions from BO, sorted by imag part, at 03-Jan-2025 15:07:38
kz[kn]           kx[kn]           k[kn]            theta[deg]       Re(omega1[wn])   Im(omega1[wn])   Re(omega2[wn])   Im(omega2[wn])   Re(omega3[wn])   Im(omega3[wn])   Re(omega4[wn])   Im(omega4[wn])   Re(omega5[wn])   Im(omega5[wn])   Re(omega6[wn])   Im(omega6[wn])   Re(omega7[wn])   Im(omega7[wn])   Re(omega8[wn])   Im(omega8[wn])   Re(omega9[wn])   Im(omega9[wn])   Re(omega10[wn])  Im(omega10[wn])  Re(omega11[wn])  Im(omega11[wn])  Re(omega12[wn])  Im(omega12[wn])  Re(omega13[wn])  Im(omega13[wn])  Re(omega14[wn])  Im(omega14[wn])  Re(omega15[wn])  Im(omega15[wn])  Re(omega16[wn])  Im(omega16[wn])  Re(omega17[wn])  Im(omega17[wn])  Re(omega18[wn])  Im(omega18[wn])  
5.235722e-02     2.999543e+00     3.000000e+00     8.900000e+01     2.935024e+00     3.045238e-02     -2.935022e+00    3.045204e-02     1.031885e-07     5.987874e-06     -2.662682e+00    3.520387e-06     2.662681e+00     6.120649e-07     -1.573477e+02    3.796642e-09     1.573477e+02     2.172311e-10     5.427611e-16     7.328665e-15     1.047397e-14     4.035884e-15     -1.844680e-16    -1.007298e-16    2.495758e-16     -1.161800e-16    2.185386e-16     -3.948813e-16    -2.328497e-14    -5.894844e-16    -2.373741e-15    -3.866651e-15    6.060957e-15     -1.170812e-14    -2.686785e-15    -1.483995e-14    -2.102481e+02    -2.624189e-11    2.102481e+02     -2.882238e-11    
5.410246e-02     3.099528e+00     3.100000e+00     8.900000e+01     -2.928880e+00    4.266357e-02     2.928888e+00     4.266252e-02     -5.395155e-08    1.025264e-05     -2.746180e+00    9.842474e-07     2.746166e+00     2.297599e-07     -1.577875e+02    1.648340e-09     1.577875e+02     1.234137e-09     1.156323e+02     5.338766e-11     1.903026e-14     1.224492e-14     -4.286560e-15    3.797311e-15     -5.647308e-16    4.671415e-16     3.055318e-16     -3.265838e-16    -5.932624e-16    -6.664187e-16    -6.587588e-15    -1.699063e-15    -2.964169e-15    -2.060743e-15    5.334913e-15     -2.385824e-15    1.217426e-15     -1.235961e-14    -1.156323e+02    -4.610413e-11    
5.584770e-02     3.199513e+00     3.200000e+00     8.900000e+01     -2.930556e+00    6.141546e-02     2.930567e+00     6.140364e-02     2.813470e+00     1.383803e-04     -2.813488e+00    1.349939e-04     -6.585305e-06    9.590204e-08     1.582404e+02     1.739825e-09     -2.105051e+02    4.173183e-11     2.105051e+02     1.270209e-11     1.872438e-14     2.173842e-14     6.419584e-15     5.635165e-15     2.836206e-16     5.807315e-16     1.806710e-16     2.638057e-17     -2.132988e-15    -2.975776e-16    -3.389835e-16    -7.354658e-16    -1.400337e-14    -2.045697e-15    5.072626e-15     -6.543268e-15    2.160404e-15     -5.363136e-14    -1.160158e+02    -1.781779e-10    
5.759294e-02     3.299497e+00     3.300000e+00     8.900000e+01     -2.950931e+00    7.747318e-02     2.950935e+00     7.747195e-02     7.233040e-06     6.285747e-08     -1.587063e+02    2.736289e-10     8.135101e-15     1.246403e-14     -7.785087e-15    2.199936e-15     -1.033761e-14    5.848327e-16     -3.530650e-16    1.747990e-16     -6.399820e-16    1.525082e-16     -8.040731e-17    -9.283093e-16    -3.308757e-14    -2.023679e-15    2.227634e-14     -6.948734e-15    1.093519e-14     -1.154344e-14    -2.106407e+02    -9.786307e-12    2.106407e+02     -3.438950e-11    1.164087e+02     -7.119643e-11    -1.164087e+02    -2.746168e-10    1.587063e+02     -3.249518e-09    
5.933818e-02     3.399482e+00     3.400000e+00     8.900000e+01     2.983834e+00     7.740905e-02     -2.983853e+00    7.740672e-02     2.502784e-09     4.387578e-06     1.591851e+02     1.503444e-09     2.107812e+02     6.588712e-11     -6.660538e-15    7.921610e-15     1.075447e-14     6.161470e-15     1.686266e-14     2.752035e-15     -1.166575e-16    7.251954e-16     5.967161e-16     -4.373047e-17    -2.816244e-17    -4.805464e-16    -8.406313e-15    -6.699003e-15    1.816631e-14     -8.052178e-15    -2.554728e-14    -2.371149e-14    -2.107812e+02    -1.562740e-11    1.168108e+02     -1.772764e-10    -1.168108e+02    -4.952060e-10    -1.591851e+02    -1.559810e-09    
6.108342e-02     3.499467e+00     3.500000e+00     8.900000e+01     3.024740e+00     6.291881e-02     -3.024735e+00    6.291319e-02     -3.930213e+00    9.470889e-04     3.930213e+00     9.469926e-04     -5.598782e-06    1.570454e-07     1.596768e+02     2.370803e-09     -1.596768e+02    7.297184e-11     -1.574861e-15    2.055915e-14     1.041557e-14     9.091005e-15     -3.542979e-14    5.016264e-15     -1.617604e-14    1.796360e-15     3.130970e-16     -1.170046e-16    -3.117216e-16    -1.568999e-16    4.903716e-16     -2.947290e-16    -4.254870e-15    -7.783846e-15    1.002115e-14     -8.292134e-15    -2.109264e+02    -1.242756e-11    2.109264e+02     -4.155808e-11    
6.282866e-02     3.599452e+00     3.600000e+00     8.900000e+01     3.065012e+00     4.518871e-02     -3.065005e+00    4.518831e-02     -3.923974e+00    2.570725e-03     3.923975e+00     2.570720e-03     -1.988014e+00    8.456184e-05     1.988014e+00     8.444249e-05     -4.029989e-06    5.174817e-08     -1.601810e+02    2.180513e-09     2.800750e-15     9.291672e-15     -2.698370e-14    7.041709e-15     -1.155743e-14    3.024303e-15     -2.639014e-16    5.858564e-16     4.746211e-16     1.079751e-16     2.911262e-15     -3.061142e-15    2.447436e-14     -5.960787e-15    1.007401e-14     -6.717087e-15    1.412499e-15     -1.684157e-14    -2.110766e+02    -1.731207e-12    
6.457390e-02     3.699436e+00     3.700000e+00     8.900000e+01     -3.088294e+00    2.628215e-02     3.088299e+00     2.627561e-02     3.918207e+00     3.720805e-03     -3.918207e+00    3.720590e-03     -1.987560e+00    1.691668e-04     1.987560e+00     1.690486e-04     3.222527e+00     1.536874e-04     -3.222520e+00    1.414727e-04     2.080177e-07     7.856506e-06     -1.606979e+02    1.853057e-09     -2.112317e+02    3.682414e-11     2.112317e+02     3.402191e-11     1.413179e-14     8.347794e-15     1.437313e-15     2.207714e-16     -1.581891e-15    7.463192e-17     6.326896e-16     -1.129693e-16    -2.593975e-16    -4.328202e-16    4.163703e-15     -2.411182e-15    
6.631914e-02     3.799421e+00     3.800000e+00     8.900000e+01     3.099249e+00     1.231705e-02     -3.099249e+00    1.231428e-02     3.912871e+00     4.565329e-03     -3.912870e+00    4.565117e-03     -1.987076e+00    2.136197e-04     1.987076e+00     2.134810e-04     -3.285344e+00    1.318662e-06     -3.224580e-06    4.926656e-07     1.612271e+02     2.619313e-09     -1.612271e+02    5.383830e-10     -1.185054e+02    8.136390e-11     -2.113919e+02    1.168182e-11     -1.145430e-14    2.019867e-14     2.646522e-15     1.430391e-14     1.976068e-14     9.527892e-15     2.742489e-14     4.190924e-15     3.185992e-16     4.492106e-16     -8.532117e-16    -2.063189e-16    
6.806439e-02     3.899406e+00     3.900000e+00     8.900000e+01     3.907917e+00     5.304025e-03     -3.907918e+00    5.302989e-03     -3.106118e+00    3.124129e-03     3.106119e+00     3.123122e-03     -1.986564e+00    2.243855e-04     1.986564e+00     2.243803e-04     4.457650e-07     7.906045e-06     3.352087e+00     2.398068e-06     -1.617686e+02    4.218838e-11     2.115572e+02     2.410962e-11     5.625459e-14     1.904859e-14     2.121859e-15     1.162657e-14     7.353350e-17     5.439923e-16     -1.106795e-15    -6.212092e-17    4.139774e-16     -5.475315e-16    -4.670560e-16    -7.716351e-16    1.004058e-14     -2.632387e-15    -3.041024e-15    -1.223622e-14    
