Below are the first nkwall=min(nw,4*S+6)=18 solutions from BO, sorted by imag part, at 24-Dec-2024 15:24:00
kz[kn]           kx[kn]           k[kn]            theta[deg]       Re(omega1[wn])   Im(omega1[wn])   Re(omega2[wn])   Im(omega2[wn])   Re(omega3[wn])   Im(omega3[wn])   Re(omega4[wn])   Im(omega4[wn])   Re(omega5[wn])   Im(omega5[wn])   Re(omega6[wn])   Im(omega6[wn])   Re(omega7[wn])   Im(omega7[wn])   Re(omega8[wn])   Im(omega8[wn])   Re(omega9[wn])   Im(omega9[wn])   Re(omega10[wn])  Im(omega10[wn])  Re(omega11[wn])  Im(omega11[wn])  Re(omega12[wn])  Im(omega12[wn])  Re(omega13[wn])  Im(omega13[wn])  Re(omega14[wn])  Im(omega14[wn])  Re(omega15[wn])  Im(omega15[wn])  Re(omega16[wn])  Im(omega16[wn])  Re(omega17[wn])  Im(omega17[wn])  Re(omega18[wn])  Im(omega18[wn])  
8.726535e-03     9.999619e-01     1.000000e+00     8.950000e+01     2.007195e-13     1.683508e-04     -9.873019e-01    4.013144e-08     9.873019e-01     4.012401e-08     8.902790e-08     5.080521e-11     -9.269260e-08    3.957462e-11     4.388579e+03     1.879829e-11     5.240770e-12     4.616671e-12     7.183321e+02     1.925604e-12     -3.588571e-13    2.416290e-13     1.572463e-15     3.431122e-16     -1.172956e-15    -3.832517e-17    1.000550e-12     -5.342196e-13    -1.072377e-12    -8.147036e-13    -4.764476e-12    -1.561067e-12    -4.388579e+03    -2.390311e-12    -4.935253e-12    -2.756831e-12    -7.183321e+02    -9.364569e-12    3.664526e-09     -1.208357e-10    
8.944699e-03     1.024961e+00     1.025000e+00     8.950000e+01     1.271921e-13     1.690432e-04     -9.943121e-01    1.502383e-07     9.943121e-01     1.502317e-07     9.082665e-08     1.392280e-10     -9.596599e-08    1.163487e-10     7.183581e+02     1.905144e-11     -7.183581e+02    1.559826e-11     1.864333e-12     1.333383e-12     -8.245123e-13    8.649414e-13     3.900114e-15     1.983064e-15     -1.252934e-15    -1.325796e-16    -2.700785e-13    -1.406437e-14    1.429844e-12     -7.507175e-13    -4.388580e+03    -1.017138e-12    4.954876e-12     -2.901412e-12    4.388580e+03     -3.584093e-12    -6.066365e-12    -5.392154e-12    5.133968e-09     -2.838875e-10    
9.162862e-03     1.049960e+00     1.050000e+00     8.950000e+01     1.509507e-13     1.694889e-04     9.965130e-01     2.356531e-07     -9.965130e-01    2.356013e-07     1.568082e-09     7.942271e-09     7.183846e+02     1.803726e-11     -7.183846e+02    4.303903e-12     1.494076e-12     2.453519e-12     -1.067414e-12    1.653350e-12     1.089355e-11     5.427537e-13     -2.015238e-12    2.532369e-13     -4.388580e+03    1.060673e-13     -3.065928e-15    1.564964e-14     3.619955e-16     1.888088e-15     7.158234e-15     -1.580991e-16    -4.669409e-13    -8.262138e-13    4.388580e+03     -1.280739e-12    1.053594e+00     -2.436896e-09    -1.053594e+00    -2.437234e-09    
9.381026e-03     1.074959e+00     1.075000e+00     8.950000e+01     -4.953076e-13    1.696834e-04     9.974423e-01     2.554375e-07     -9.974423e-01    2.553288e-07     -5.870466e-09    6.018289e-09     7.184119e+02     8.200996e-12     -7.184119e+02    7.713781e-12     2.884125e-12     4.082784e-12     4.388581e+03     1.916048e-12     -2.861240e-12    9.649214e-13     -9.284706e-16    1.378550e-16     1.135697e-15     -6.612810e-17    2.029503e-12     -1.198392e-13    -3.992008e-13    -2.410190e-13    -3.697574e-12    -4.121509e-13    4.843774e-13     -6.054138e-13    -4.388581e+03    -2.535612e-12    1.077568e+00     -1.161833e-09    -1.077568e+00    -1.164356e-09    
9.599189e-03     1.099958e+00     1.100000e+00     8.950000e+01     -9.594832e-14    1.696223e-04     -9.979389e-01    2.135591e-07     9.979389e-01     2.134491e-07     5.642740e-09     2.514060e-09     -4.388582e+03    5.882021e-12     7.184397e+02     1.892085e-12     3.309894e-13     8.876699e-13     -1.724609e-12    1.078489e-14     -3.781819e-17    2.651081e-16     1.239998e-15     -1.315212e-15    2.856370e-13     -2.223388e-13    -5.956021e-13    -2.719443e-13    1.911941e-12     -8.679551e-13    4.388582e+03     -2.319033e-12    7.742684e-12     -3.272193e-12    -7.184397e+02    -3.456027e-12    1.101968e+00     -7.490675e-10    -1.101968e+00    -7.505069e-10    
9.817352e-03     1.124957e+00     1.125000e+00     8.950000e+01     -3.433803e-13    1.693012e-04     -9.982446e-01    1.243777e-07     9.982446e-01     1.243387e-07     1.018690e-07     2.340138e-09     -1.085790e-07    1.899713e-09     4.388583e+03     7.503260e-12     6.903912e-13     4.252696e-12     -4.388583e+03    3.039331e-12     7.184682e+02     1.285438e-12     -9.925610e-16    2.712462e-16     -5.089499e-16    -9.250815e-16    -1.093053e-12    -4.135028e-13    1.444582e-12     -1.375136e-12    9.769358e-12     -1.444320e-12    9.678809e-13     -1.461630e-12    -7.184682e+02    -6.190286e-12    4.043750e-13     -7.749859e-12    1.126551e+00     -5.699885e-10    
1.003552e-02     1.149956e+00     1.150000e+00     8.950000e+01     -9.776069e-13    1.687160e-04     9.984508e-01     3.646707e-09     -9.984508e-01    3.624986e-09     -4.757529e-09    1.090782e-09     -7.184974e+02    5.898328e-12     7.184974e+02     5.626157e-12     4.388583e+03     2.774460e-12     2.084803e-12     2.074561e-13     -1.001180e-15    1.174853e-15     3.294775e-16     -4.895140e-17    1.525580e-12     -2.546628e-13    -4.388583e+03    -2.732195e-13    -1.127111e-12    -5.846800e-13    -5.572591e-14    -9.207142e-13    1.565048e-12     -1.017675e-12    6.703296e-12     -1.734054e-12    -1.151225e+00    -4.846374e-10    1.151225e+00     -4.850118e-10    
1.025368e-02     1.174955e+00     1.175000e+00     8.950000e+01     -9.597579e-14    1.678623e-04     -1.046351e-09    9.384529e-09     -7.185271e+02    6.067949e-12     7.185271e+02     3.388827e-12     -4.388584e+03    2.584513e-12     -4.787104e-12    2.090000e-12     6.380042e-13     7.525968e-13     1.765489e-15     8.629626e-16     -6.885724e-16    -1.474869e-16    6.008504e-13     -1.917446e-13    -2.476456e-13    -2.212041e-13    6.802696e-12     -6.603168e-13    -3.028583e-12    -1.197526e-12    4.388584e+03     -7.452832e-12    -1.175950e+00    -4.415453e-10    1.175950e+00     -4.416920e-10    1.104473e-07     -4.657282e-09    -1.094004e-07    -4.763544e-09    
1.047184e-02     1.199954e+00     1.200000e+00     8.950000e+01     1.251410e-13     1.667361e-04     -4.589713e-09    3.499023e-11     -3.578965e-12    1.914810e-12     3.432536e-13     1.334037e-12     -1.181139e-13    7.009640e-13     4.388585e+03     1.210067e-14     -1.260007e-16    3.577157e-16     4.954819e-16     -1.202408e-15    -2.027104e-12    -2.303144e-13    -8.096078e-12    -2.770840e-13    -4.648688e-13    -3.043515e-13    -4.388585e+03    -4.193395e-12    7.185576e+02     -1.022255e-11    -7.185576e+02    -1.100973e-11    -1.095967e-07    -2.935562e-11    1.141865e-07     -4.256440e-11    1.200701e+00     -4.179980e-10    -1.200701e+00    -4.192558e-10    
1.069001e-02     1.224953e+00     1.225000e+00     8.950000e+01     -3.761092e-14    1.653334e-04     -2.280914e-09    4.887939e-09     3.929814e-12     6.909321e-12     4.711443e-12     1.362652e-12     1.361431e-13     1.279021e-12     -3.958078e-13    8.659049e-13     -1.863082e-12    4.392837e-13     1.437325e-15     4.754343e-16     -6.498551e-16    4.004305e-19     1.477572e-13     -1.034158e-13    -7.185886e+02    -1.116399e-12    7.185886e+02     -6.596866e-12    4.388586e+03     -1.075445e-11    -4.388586e+03    -1.153977e-11    -1.225468e+00    -4.084287e-10    1.225468e+00     -4.090477e-10    1.158695e-07     -2.396680e-09    -1.135920e-07    -2.527586e-09    
